Name,Chain,Category
0vix,Polygon,Lending
0vix,Polygon zkEVM,Lending
0xLend,Kucoin,Lending
88mph,Avalanche,Lending
88mph,Ethereum,Lending
88mph,Fantom,Lending
88mph,Polygon,Lending
AAVE V1,Ethereum,Lending
AAVE V2,Avalanche,Lending
AAVE V2,Ethereum,Lending
AAVE V2,Polygon,Lending
AAVE V3,Arbitrum,Lending
AAVE V3,Avalanche,Lending
AAVE V3,Ethereum,Lending
AAVE V3,Fantom,Lending
AAVE V3,Harmony,Lending
AAVE V3,Metis,Lending
AAVE V3,Optimism,Lending
AAVE V3,Polygon,Lending
ABEL Finance,Aptos,Lending
Aada,Cardano,Lending
Aave Arc,Ethereum,Lending
Acumen,Solana,Lending
Agave,xDai,Lending
Agile Finance,Cronos,Lending
Agora,Metis,Lending
Ajna,Ethereum,Lending
Algofi Lend,Algorand,Lending
Alkemi,Ethereum,Lending
Alpaca Finance 2.0,Binance,Lending
Amy Finance,Arbitrum,Lending
Anchor,Avalanche,Lending
Anchor,Terra,Lending
Annex,Binance,Lending
Annex,Cronos,Lending
Annex,Kava,Lending
Ape Finance,Ethereum,Lending
ApeSwap Lending,Binance,Lending
Apricot Finance,Solana,Lending
Aptin Finance,Aptos,Lending
Arbor Finance,Ethereum,Lending
Aries Markets,Aptos,Lending
Atlantis Loans,Avalanche,Lending
Atlantis Loans,Binance,Lending
Atlantis Loans,Dogechain,Lending
Atlantis Loans,Polygon,Lending
Augmented Finance,Avalanche,Lending
Augmented Finance,Binance,Lending
Augmented Finance,Ethereum,Lending
Augmented Finance,xDai,Lending
Aurigami,Aurora,Lending
B.Protocol,Arbitrum,Lending
B.Protocol,Ethereum,Lending
B.Protocol,Fantom,Lending
B.Protocol,Polygon,Lending
BAO Markets,Ethereum,Lending
BFly Finance,Starcoin,Lending
BNPL Pay,Ethereum,Lending
BaksDAO,Binance,Lending
Bank of Cronos Loans,Cronos,Lending
Basilisk,zkSync Era,Lending
Bastion,Aurora,Lending
BencuFi,Metis,Lending
Benqi Lending,Avalanche,Lending
Beta Finance,Avalanche,Lending
Beta Finance,Ethereum,Lending
BiFi,Avalanche,Lending
BiFi,Binance,Lending
BiFi,Bitcoin,Lending
BiFi,Ethereum,Lending
BiFi,Klaytn,Lending
Bitlend,Bittorrent,Lending
Blizz Finance,Avalanche,Lending
Bodh Finance,Boba,Lending
BondAppetit,Ethereum,Lending
BonqDAO,Polygon,Lending
Brainiac Finance,GodwokenV1,Lending
Burrow,Near,Lending
CHFRY Finance,Ethereum,Lending
CREAM Lending,Arbitrum,Lending
CREAM Lending,Binance,Lending
CREAM Lending,Ethereum,Lending
CREAM Lending,Polygon,Lending
Canto Lending,Canto,Lending
CashCow Finance,Binance,Lending
Cat in a Box,Ethereum,Lending
Channels Finance,Arbitrum,Lending
Channels Finance,Binance,Lending
Channels Finance,Heco,Lending
Chee Finance,Binance,Lending
Chee Finance,Celo,Lending
Chee Finance,Meter,Lending
Chintai,EOS,Lending
Commodo,Comdex,Lending
Compound,Ethereum,Lending
Compound V3,Arbitrum,Lending
Compound V3,Ethereum,Lending
Compound V3,Polygon,Lending
Coslend,Evmos,Lending
CroLend Finance,Cronos,Lending
DAOLama,TON,Lending
DeFIL,Binance,Lending
DeFIL,Ethereum,Lending
DeFiner,Ethereum,Lending
DeFiner,OKExChain,Lending
DeFiner,Polygon,Lending
DebtDAO,Ethereum,Lending
DeerFi,Ethereum,Lending
Demeter,Binance,Lending
Demeter,Heco,Lending
Dolomite,Arbitrum,Lending
EOS REX,EOS,Lending
EcoDeFi,Binance,Lending
Edge Protocol,Terra,Lending
Equilibrium Lending,Equilibrium,Lending
EraLend,zkSync Era,Lending
EthicHub,Celo,Lending
EthicHub,Ethereum,Lending
Euler,Ethereum,Lending
Everlend,Solana,Lending
Evolve,Cronos,Lending
Exactly,Ethereum,Lending
Exactly,Optimism,Lending
Fenrir Finance,Binance,Lending
FilDA,Arbitrum,Lending
FilDA,Binance,Lending
FilDA,Bittorrent,Lending
FilDA,Elastos,Lending
FilDA,Heco,Lending
FilDA,IoTeX,Lending
FilDA,Kava,Lending
FilDA,Polygon,Lending
FilDA,REI,Lending
FluidTokens,Cardano,Lending
Flux Finance,Ethereum,Lending
Flux Protocol,Arbitrum,Lending
Flux Protocol,Binance,Lending
Flux Protocol,Conflux,Lending
Flux Protocol,Ethereum,Lending
Flux Protocol,OKExChain,Lending
Flux Protocol,Polygon,Lending
Folks Finance Lending,Algorand,Lending
ForTube,Binance,Lending
ForTube,Ethereum,Lending
ForTube,IoTeX,Lending
ForTube,OKExChain,Lending
ForTube,Polygon,Lending
Fortress Loans,Binance,Lending
Fountain Protocol,Oasis,Lending
Fraxlend,Ethereum,Lending
FreeLiquid,Ethereum,Lending
Fringe,Ethereum,Lending
Fuji V1,Arbitrum,Lending
Fuji V1,Ethereum,Lending
Fuji V1,Fantom,Lending
Fuji V1,Optimism,Lending
Fuji V1,Polygon,Lending
Fuji V2,Arbitrum,Lending
Fuji V2,Ethereum,Lending
Fuji V2,Optimism,Lending
Fuji V2,Polygon,Lending
Fuji V2,xDai,Lending
Geist Finance,Fantom,Lending
Genshiro,Genshiro,Lending
Ghost,Kujira,Lending
Goldbank Finance,Arbitrum,Lending
Goledo,Conflux,Lending
Granary Finance,Arbitrum,Lending
Granary Finance,Avalanche,Lending
Granary Finance,Binance,Lending
Granary Finance,Ethereum,Lending
